净值日期,单位净值,日增长率,基金代码
2013-03-22,1.0,0.0,000042
2013-03-29,1.0,0.0,000042
2013-04-03,1.0,0.0,000042
2013-04-12,1.001,0.1,000042
2013-04-19,1.001,0.0,000042
2013-04-22,1.001,0.0,000042
2013-04-23,1.001,0.0,000042
2013-04-24,1.006,0.4995,000042
2013-04-25,1.004,-0.1988,000042
2013-04-26,1.0,-0.3984,000042
2013-05-02,0.999,-0.1,000042
2013-05-03,1.008,0.9009,000042
2013-05-06,1.018,0.9921,000042
2013-05-07,1.021,0.2947,000042
2013-05-08,1.022,0.0979,000042
2013-05-09,1.021,-0.0978,000042
2013-05-10,1.023,0.1959,000042
2013-05-13,1.022,-0.0978,000042
2013-05-14,1.017,-0.4892,000042
2013-05-15,1.017,0.0,000042
2013-05-16,1.028,1.0816,000042
2013-05-17,1.043,1.4591,000042
2013-05-20,1.048,0.4794,000042
2013-05-21,1.049,0.0954,000042
2013-05-22,1.049,0.0,000042
2013-05-23,1.037,-1.1439,000042
2013-05-24,1.041,0.3857,000042
2013-05-27,1.042,0.0961,000042
2013-05-28,1.055,1.2476,000042
2013-05-29,1.055,0.0,000042
2013-05-30,1.05,-0.4739,000042
2013-05-31,1.043,-0.6667,000042
2013-06-03,1.04,-0.2876,000042
2013-06-04,1.026,-1.3462,000042
2013-06-05,1.026,0.0,000042
2013-06-06,1.015,-1.0721,000042
2013-06-07,0.998,-1.6749,000042
2013-06-13,0.969,-2.9058,000042
2013-06-14,0.973,0.4128,000042
2013-06-17,0.968,-0.5139,000042
2013-06-18,0.971,0.3099,000042
2013-06-19,0.966,-0.5149,000042
2013-06-20,0.942,-2.4845,000042
2013-06-21,0.939,-0.3185,000042
2013-06-24,0.898,-4.3663,000042
2013-06-25,0.894,-0.4454,000042
2013-06-26,0.896,0.2237,000042
2013-06-27,0.894,-0.2232,000042
2013-06-28,0.904,1.1186,000042
2013-06-30,0.904,0.0,000042
2013-07-01,0.908,0.4425,000042
2013-07-02,0.912,0.4405,000042
2013-07-03,0.904,-0.8772,000042
2013-07-04,0.915,1.2168,000042
2013-07-05,0.916,0.1093,000042
2013-07-08,0.89,-2.8384,000042
2013-07-09,0.89,0.0,000042
2013-07-10,0.914,2.6966,000042
2013-07-11,0.949,3.8293,000042
2013-07-12,0.932,-1.7914,000042
2013-07-15,0.943,1.1803,000042
2013-07-16,0.948,0.5302,000042
2013-07-17,0.936,-1.2658,000042
2013-07-18,0.923,-1.3889,000042
2013-07-19,0.905,-1.9502,000042
2013-07-22,0.911,0.663,000042
2013-07-23,0.934,2.5247,000042
2013-07-24,0.929,-0.5353,000042
2013-07-25,0.927,-0.2153,000042
2013-07-26,0.923,-0.4315,000042
2013-07-29,0.906,-1.8418,000042
2013-07-30,0.913,0.7726,000042
2013-07-31,0.914,0.1095,000042
2013-08-01,0.933,2.0788,000042
2013-08-02,0.934,0.1072,000042
2013-08-05,0.947,1.3919,000042
2013-08-06,0.952,0.528,000042
2013-08-07,0.946,-0.6303,000042
2013-08-08,0.945,-0.1057,000042
2013-08-09,0.95,0.5291,000042
2013-08-12,0.976,2.7368,000042
2013-08-13,0.978,0.2049,000042
2013-08-14,0.973,-0.5112,000042
2013-08-15,0.963,-1.0277,000042
2013-08-16,0.954,-0.9346,000042
2013-08-19,0.965,1.153,000042
2013-08-20,0.958,-0.7254,000042
2013-08-21,0.959,0.1044,000042
2013-08-22,0.955,-0.4171,000042
2013-08-23,0.947,-0.8377,000042
2013-08-26,0.964,1.7951,000042
2013-08-27,0.969,0.5187,000042
2013-08-28,0.968,-0.1032,000042
2013-08-29,0.963,-0.5165,000042
2013-08-30,0.962,-0.1038,000042
2013-09-02,0.963,0.104,000042
2013-09-03,0.97,0.7269,000042
2013-09-04,0.97,0.0,000042
2013-09-05,0.965,-0.5155,000042
2013-09-06,0.969,0.4145,000042
2013-09-09,0.986,1.7544,000042
2013-09-10,0.996,1.0142,000042
2013-09-11,1.004,0.8032,000042
2013-09-12,1.007,0.2988,000042
2013-09-13,1.006,-0.0993,000042
2013-09-16,1.003,-0.2982,000042
2013-09-17,0.988,-1.4955,000042
2013-09-18,0.991,0.3036,000042
2013-09-23,1.003,1.2109,000042
2013-09-24,0.992,-1.0967,000042
2013-09-25,0.985,-0.7056,000042
2013-09-26,0.969,-1.6244,000042
2013-09-27,0.972,0.3096,000042
2013-09-30,0.975,0.3086,000042
2013-10-08,0.988,1.3333,000042
2013-10-09,0.99,0.2024,000042
2013-10-10,0.984,-0.6061,000042
2013-10-11,0.999,1.5244,000042
2013-10-14,1.007,0.8008,000042
2013-10-15,1.006,-0.0993,000042
2013-10-16,0.986,-1.9881,000042
2013-10-17,0.984,-0.2028,000042
2013-10-18,0.986,0.2033,000042
2013-10-21,1.001,1.5213,000042
2013-10-22,0.995,-0.5994,000042
2013-10-23,0.984,-1.1055,000042
2013-10-24,0.98,-0.4065,000042
2013-10-25,0.966,-1.4286,000042
2013-10-28,0.965,-0.1035,000042
2013-10-29,0.957,-0.829,000042
2013-10-30,0.972,1.5674,000042
2013-10-31,0.965,-0.7202,000042
2013-11-01,0.968,0.3109,000042
2013-11-04,0.969,0.1033,000042
2013-11-05,0.971,0.2064,000042
2013-11-06,0.96,-1.1329,000042
2013-11-07,0.954,-0.625,000042
2013-11-08,0.942,-1.2579,000042
2013-11-11,0.947,0.5308,000042
2013-11-12,0.956,0.9504,000042
2013-11-13,0.939,-1.7782,000042
2013-11-14,0.944,0.5325,000042
2013-11-15,0.958,1.4831,000042
2013-11-18,0.98,2.2965,000042
2013-11-19,0.977,-0.3061,000042
2013-11-20,0.983,0.6141,000042
2013-11-21,0.979,-0.4069,000042
2013-11-22,0.974,-0.5107,000042
2013-11-25,0.97,-0.4107,000042
