净值日期,单位净值,日增长率,基金代码
2013-05-07,1.0,0.0,000065
2013-05-10,1.0,0.0,000065
2013-05-17,1.002,0.2,000065
2013-05-24,1.004,0.1996,000065
2013-05-31,1.003,-0.0996,000065
2013-06-07,0.994,-0.8973,000065
2013-06-14,0.99,-0.4024,000065
2013-06-21,0.988,-0.202,000065
2013-06-28,0.99,0.2024,000065
2013-06-30,0.991,0.101,000065
2013-07-05,0.994,0.3027,000065
2013-07-08,0.986,-0.8048,000065
2013-07-09,0.985,-0.1014,000065
2013-07-10,0.991,0.6091,000065
2013-07-11,1.005,1.4127,000065
2013-07-12,0.995,-0.995,000065
2013-07-15,0.997,0.201,000065
2013-07-16,1.002,0.5015,000065
2013-07-17,0.993,-0.8982,000065
2013-07-18,0.988,-0.5035,000065
2013-07-19,0.976,-1.2146,000065
2013-07-22,0.977,0.1025,000065
2013-07-23,0.984,0.7165,000065
2013-07-24,0.98,-0.4065,000065
2013-07-25,0.984,0.4082,000065
2013-07-26,0.98,-0.4065,000065
2013-07-29,0.97,-1.0204,000065
2013-07-30,0.971,0.1031,000065
2013-07-31,0.968,-0.309,000065
2013-08-01,0.978,1.0331,000065
2013-08-02,0.98,0.2045,000065
2013-08-05,0.987,0.7143,000065
2013-08-06,0.993,0.6079,000065
2013-08-07,0.993,0.0,000065
2013-08-08,0.991,-0.2014,000065
2013-08-09,0.987,-0.4036,000065
2013-08-12,1.004,1.7224,000065
2013-08-13,1.008,0.3984,000065
2013-08-14,1.004,-0.3968,000065
2013-08-15,1.0,-0.3984,000065
2013-08-16,0.996,-0.4,000065
2013-08-19,1.0,0.4016,000065
2013-08-20,0.994,-0.6,000065
2013-08-21,0.993,-0.1006,000065
2013-08-22,0.993,0.0,000065
2013-08-23,0.991,-0.2014,000065
2013-08-26,1.002,1.11,000065
2013-08-27,1.01,0.7984,000065
2013-08-28,1.004,-0.5941,000065
2013-08-29,1.003,-0.0996,000065
2013-08-30,0.998,-0.4985,000065
2013-09-02,0.981,-1.7034,000065
2013-09-03,0.994,1.3252,000065
2013-09-04,0.993,-0.1006,000065
2013-09-05,0.988,-0.5035,000065
2013-09-06,0.992,0.4049,000065
2013-09-09,1.014,2.2177,000065
2013-09-10,1.022,0.789,000065
2013-09-11,1.032,0.9785,000065
2013-09-12,1.036,0.3876,000065
2013-09-13,1.037,0.0965,000065
2013-09-16,1.029,-0.7715,000065
2013-09-17,1.006,-2.2352,000065
2013-09-18,1.001,-0.497,000065
2013-09-23,1.009,0.7992,000065
2013-09-24,0.999,-0.9911,000065
2013-09-25,0.989,-1.001,000065
2013-09-26,0.976,-1.3145,000065
2013-09-27,0.974,-0.2049,000065
2013-09-30,0.977,0.308,000065
2013-10-08,0.987,1.0235,000065
2013-10-09,0.989,0.2026,000065
2013-10-10,0.979,-1.0111,000065
2013-10-11,0.987,0.8172,000065
2013-10-14,0.999,1.2158,000065
2013-10-15,0.999,0.0,000065
2013-10-16,0.982,-1.7017,000065
2013-10-17,0.981,-0.1018,000065
2013-10-18,0.979,-0.2039,000065
2013-10-21,0.991,1.2257,000065
2013-10-22,0.99,-0.1009,000065
2013-10-23,0.983,-0.7071,000065
2013-10-24,0.977,-0.6104,000065
2013-10-25,0.964,-1.3306,000065
2013-10-28,0.95,-1.4523,000065
2013-10-29,0.948,-0.2105,000065
2013-10-30,0.955,0.7384,000065
2013-10-31,0.961,0.6283,000065
2013-11-01,0.961,0.0,000065
2013-11-04,0.962,0.1041,000065
2013-11-05,0.961,-0.104,000065
2013-11-06,0.959,-0.2081,000065
2013-11-07,0.953,-0.6257,000065
2013-11-08,0.943,-1.0493,000065
2013-11-11,0.954,1.1665,000065
2013-11-12,0.974,2.0964,000065
2013-11-13,0.96,-1.4374,000065
2013-11-14,0.961,0.1042,000065
2013-11-15,0.97,0.9365,000065
2013-11-18,0.991,2.1649,000065
2013-11-19,0.987,-0.4036,000065
2013-11-20,0.988,0.1013,000065
2013-11-21,0.972,-1.6194,000065
2013-11-22,0.97,-0.2058,000065
2013-11-25,0.974,0.4124,000065
2013-11-26,0.972,-0.2053,000065
2013-11-27,0.975,0.3086,000065
2013-11-28,0.989,1.4359,000065
2013-11-29,0.989,0.0,000065
2013-12-02,0.966,-2.3256,000065
2013-12-03,0.983,1.7598,000065
2013-12-04,0.999,1.6277,000065
2013-12-05,0.999,0.0,000065
2013-12-06,0.998,-0.1001,000065
2013-12-09,1.004,0.6012,000065
2013-12-10,1.005,0.0996,000065
2013-12-11,0.994,-1.0945,000065
2013-12-12,0.996,0.2012,000065
2013-12-13,0.994,-0.2008,000065
2013-12-16,0.982,-1.2072,000065
2013-12-17,0.976,-0.611,000065
2013-12-18,0.974,-0.2049,000065
2013-12-19,0.971,-0.308,000065
2013-12-20,0.957,-1.4418,000065
2013-12-23,0.958,0.1045,000065
2013-12-24,0.961,0.3132,000065
2013-12-25,0.965,0.4162,000065
2013-12-26,0.952,-1.3472,000065
2013-12-27,0.961,0.9454,000065
2013-12-30,0.956,-0.5203,000065
2013-12-31,0.975,1.9874,000065
2014-01-02,0.975,0.0,000065
2014-01-03,0.969,-0.6154,000065
2014-01-06,0.953,-1.6512,000065
2014-01-07,0.952,-0.1049,000065
2014-01-08,0.949,-0.3151,000065
2014-01-09,0.945,-0.4215,000065
2014-01-10,0.936,-0.9524,000065
2014-01-13,0.939,0.3205,000065
2014-01-14,0.95,1.1715,000065
2014-01-15,0.945,-0.5263,000065
2014-01-16,0.949,0.4233,000065
2014-01-17,0.938,-1.1591,000065
2014-01-20,0.939,0.1066,000065
2014-01-21,0.943,0.426,000065
2014-01-22,0.961,1.9088,000065
2014-01-23,0.957,-0.4162,000065
2014-01-24,0.958,0.1045,000065
2014-01-27,0.96,0.2088,000065
2014-01-28,0.955,-0.5208,000065
2014-01-29,0.95,-0.5236,000065
2014-01-30,0.94,-1.0526,000065
2014-02-07,0.948,0.8511,000065
2014-02-10,0.96,1.2658,000065
