净值日期,单位净值,日增长率,基金代码
2013-03-14,1.0,0.0,000047
2013-03-15,1.0,0.0,000047
2013-03-22,1.0,0.0,000047
2013-03-29,1.001,0.1,000047
2013-04-03,1.001,0.0,000047
2013-04-12,1.002,0.0999,000047
2013-04-19,1.002,0.0,000047
2013-04-26,1.002,0.0,000047
2013-05-03,1.003,0.0998,000047
2013-05-10,1.004,0.0997,000047
2013-05-15,1.005,0.0996,000047
2013-05-16,1.006,0.0995,000047
2013-05-17,1.008,0.1988,000047
2013-05-20,1.008,0.0,000047
2013-05-21,1.008,0.0,000047
2013-05-22,1.007,-0.0992,000047
2013-05-23,1.006,-0.0993,000047
2013-05-24,1.006,0.0,000047
2013-05-27,1.006,0.0,000047
2013-05-28,1.009,0.2982,000047
2013-05-29,1.011,0.1982,000047
2013-05-30,1.011,0.0,000047
2013-05-31,1.01,-0.0989,000047
2013-06-03,1.009,-0.099,000047
2013-06-04,1.007,-0.1982,000047
2013-06-05,1.007,0.0,000047
2013-06-06,1.006,-0.0993,000047
2013-06-07,1.005,-0.0994,000047
2013-06-13,1.001,-0.398,000047
2013-06-14,0.999,-0.1998,000047
2013-06-17,0.998,-0.1001,000047
2013-06-18,0.999,0.1002,000047
2013-06-19,0.997,-0.2002,000047
2013-06-20,0.988,-0.9027,000047
2013-06-21,0.988,0.0,000047
2013-06-24,0.981,-0.7085,000047
2013-06-25,0.984,0.3058,000047
2013-06-26,0.987,0.3049,000047
2013-06-27,0.989,0.2026,000047
2013-06-28,0.989,0.0,000047
2013-06-30,0.99,0.1011,000047
2013-07-01,0.995,0.5051,000047
2013-07-02,0.998,0.3015,000047
2013-07-03,0.999,0.1002,000047
2013-07-04,1.001,0.2002,000047
2013-07-05,1.004,0.2997,000047
2013-07-08,1.001,-0.2988,000047
2013-07-09,1.001,0.0,000047
2013-07-10,1.004,0.2997,000047
2013-07-11,1.008,0.3984,000047
2013-07-12,1.007,-0.0992,000047
2013-07-15,1.006,-0.0993,000047
2013-07-16,1.005,-0.0994,000047
2013-07-17,1.0,-0.4975,000047
2013-07-18,0.997,-0.3,000047
2013-07-19,0.992,-0.5015,000047
2013-07-22,0.993,0.1008,000047
2013-07-23,0.995,0.2014,000047
2013-07-24,0.992,-0.3015,000047
2013-07-25,0.991,-0.1008,000047
2013-07-26,0.993,0.2018,000047
2013-07-29,0.99,-0.3021,000047
2013-07-30,0.99,0.0,000047
2013-07-31,0.992,0.202,000047
2013-08-01,0.995,0.3024,000047
2013-08-02,0.995,0.0,000047
2013-08-05,0.999,0.402,000047
2013-08-06,1.005,0.6006,000047
2013-08-07,1.002,-0.2985,000047
2013-08-08,1.001,-0.0998,000047
2013-08-09,1.001,0.0,000047
2013-08-12,1.004,0.2997,000047
2013-08-13,1.008,0.3984,000047
2013-08-14,1.005,-0.2976,000047
2013-08-15,1.0,-0.4975,000047
2013-08-16,0.999,-0.1,000047
2013-08-19,1.0,0.1001,000047
2013-08-20,0.999,-0.1,000047
2013-08-21,0.998,-0.1001,000047
2013-08-22,0.996,-0.2004,000047
2013-08-23,0.997,0.1004,000047
2013-08-26,1.0,0.3009,000047
2013-08-27,1.002,0.2,000047
2013-08-28,1.003,0.0998,000047
2013-08-29,1.004,0.0997,000047
2013-08-30,1.002,-0.1992,000047
2013-09-02,1.004,0.1996,000047
2013-09-03,1.005,0.0996,000047
2013-09-04,1.005,0.0,000047
2013-09-05,1.005,0.0,000047
2013-09-06,1.005,0.0,000047
2013-09-09,1.007,0.199,000047
2013-09-10,1.01,0.2979,000047
2013-09-11,1.009,-0.099,000047
2013-09-12,1.007,-0.1982,000047
2013-09-13,1.006,-0.0993,000047
2013-09-16,1.006,0.0,000047
2013-09-17,1.004,-0.1988,000047
2013-09-18,1.004,0.0,000047
2013-09-23,1.007,0.2988,000047
2013-09-24,1.006,-0.0993,000047
2013-09-25,1.006,0.0,000047
2013-09-26,1.005,-0.0994,000047
2013-09-27,1.003,-0.199,000047
2013-09-30,1.005,0.1994,000047
2013-10-08,1.006,0.0995,000047
2013-10-09,1.009,0.2982,000047
2013-10-10,1.009,0.0,000047
2013-10-11,1.012,0.2973,000047
2013-10-14,1.014,0.1976,000047
2013-10-15,1.014,0.0,000047
2013-10-16,1.013,-0.0986,000047
2013-10-17,1.011,-0.1974,000047
2013-10-18,1.011,0.0,000047
2013-10-21,1.014,0.2967,000047
2013-10-22,1.012,-0.1972,000047
2013-10-23,1.012,0.0,000047
2013-10-24,1.009,-0.2964,000047
2013-10-25,1.008,-0.0991,000047
2013-10-28,1.01,0.1984,000047
2013-10-29,1.012,0.198,000047
2013-10-30,1.022,0.9881,000047
2013-10-31,1.02,-0.1957,000047
2013-11-01,1.02,0.0,000047
2013-11-04,1.019,-0.098,000047
2013-11-05,1.019,0.0,000047
2013-11-06,1.018,-0.0981,000047
2013-11-07,1.018,0.0,000047
2013-11-08,1.019,0.0982,000047
2013-11-11,1.018,-0.0981,000047
2013-11-12,1.017,-0.0982,000047
2013-11-13,1.011,-0.59,000047
2013-11-14,1.01,-0.0989,000047
2013-11-15,1.012,0.198,000047
2013-11-18,1.014,0.1976,000047
2013-11-19,1.013,-0.0986,000047
2013-11-20,1.013,0.0,000047
2013-11-21,1.011,-0.1974,000047
2013-11-22,1.011,0.0,000047
2013-11-25,1.01,-0.0989,000047
2013-11-26,1.011,0.099,000047
2013-11-27,1.01,-0.0989,000047
2013-11-28,1.012,0.198,000047
2013-11-29,1.012,0.0,000047
2013-12-02,1.01,-0.1976,000047
2013-12-03,1.013,0.297,000047
2013-12-04,1.015,0.1974,000047
2013-12-05,1.013,-0.197,000047
2013-12-06,1.014,0.0987,000047
2013-12-09,1.012,-0.1972,000047
2013-12-10,1.011,-0.0988,000047
2013-12-11,1.009,-0.1978,000047
2013-12-12,1.008,-0.0991,000047
2013-12-13,1.009,0.0992,000047
2013-12-16,1.006,-0.2973,000047
2013-12-17,1.005,-0.0994,000047
2013-12-18,1.004,-0.0995,000047
2013-12-19,1.002,-0.1992,000047
2013-12-20,0.999,-0.2994,000047
2013-12-23,0.999,0.0,000047
2013-12-24,0.999,0.0,000047
2013-12-25,1.0,0.1001,000047
2013-12-26,1.0,0.0,000047
2013-12-27,1.0,0.0,000047
2013-12-30,1.0,0.0,000047
2013-12-31,1.0,0.0,000047
2014-01-02,1.001,0.1,000047
2014-01-03,1.0,-0.0999,000047
2014-01-06,0.999,-0.1,000047
2014-01-07,0.999,0.0,000047
2014-01-08,0.999,0.0,000047
2014-01-09,0.998,-0.1001,000047
2014-01-10,0.997,-0.1002,000047
2014-01-13,0.999,0.2006,000047
2014-01-14,1.0,0.1001,000047
2014-01-15,1.0,0.0,000047
2014-01-16,1.001,0.1,000047
2014-01-17,1.0,-0.0999,000047
2014-01-20,0.999,-0.1,000047
2014-01-21,0.999,0.0,000047
2014-01-22,1.001,0.2002,000047
2014-01-23,1.002,0.0999,000047
2014-01-24,1.003,0.0998,000047
2014-01-27,1.004,0.0997,000047
