净值日期,单位净值,日增长率,基金代码
2013-04-12,1.0,0.0,000029
2013-04-19,1.041,4.1,000029
2013-04-26,1.009,-3.074,000029
2013-05-03,1.02,1.0902,000029
2013-05-10,1.032,1.1765,000029
2013-05-17,1.07,3.6822,000029
2013-05-24,1.086,1.4953,000029
2013-05-31,1.083,-0.2762,000029
2013-06-07,1.038,-4.1551,000029
2013-06-14,1.025,-1.2524,000029
2013-06-21,1.024,-0.0976,000029
2013-06-28,1.028,0.3906,000029
2013-06-30,1.028,0.0,000029
2013-07-05,1.067,3.7938,000029
2013-07-12,1.045,-2.0619,000029
2013-07-15,1.066,2.0096,000029
2013-07-16,1.076,0.9381,000029
2013-07-17,1.064,-1.1152,000029
2013-07-18,1.061,-0.282,000029
2013-07-19,1.053,-0.754,000029
2013-07-22,1.069,1.5195,000029
2013-07-23,1.099,2.8064,000029
2013-07-24,1.105,0.546,000029
2013-07-25,1.078,-2.4434,000029
2013-07-26,1.077,-0.0928,000029
2013-07-29,1.053,-2.2284,000029
2013-07-30,1.044,-0.8547,000029
2013-07-31,1.055,1.0536,000029
2013-08-01,1.079,2.2749,000029
2013-08-02,1.084,0.4634,000029
2013-08-05,1.099,1.3838,000029
2013-08-06,1.103,0.364,000029
2013-08-07,1.095,-0.7253,000029
2013-08-08,1.091,-0.3653,000029
2013-08-09,1.092,0.0917,000029
2013-08-12,1.098,0.5495,000029
2013-08-13,1.096,-0.1821,000029
2013-08-14,1.097,0.0912,000029
2013-08-15,1.082,-1.3674,000029
2013-08-16,1.066,-1.4787,000029
2013-08-19,1.086,1.8762,000029
2013-08-20,1.088,0.1842,000029
2013-08-21,1.086,-0.1838,000029
2013-08-22,1.088,0.1842,000029
2013-08-23,1.087,-0.0919,000029
2013-08-26,1.095,0.736,000029
2013-08-27,1.096,0.0913,000029
2013-08-28,1.083,-1.1861,000029
2013-08-29,1.079,-0.3693,000029
2013-08-30,1.051,-2.595,000029
2013-09-02,1.064,1.2369,000029
2013-09-03,1.08,1.5038,000029
2013-09-04,1.082,0.1852,000029
2013-09-05,1.086,0.3697,000029
2013-09-06,1.09,0.3683,000029
2013-09-09,1.093,0.2752,000029
2013-09-10,1.101,0.7319,000029
2013-09-11,1.087,-1.2716,000029
2013-09-12,1.093,0.552,000029
2013-09-13,1.098,0.4575,000029
2013-09-16,1.103,0.4554,000029
2013-09-17,1.09,-1.1786,000029
2013-09-18,1.095,0.4587,000029
2013-09-23,1.117,2.0091,000029
2013-09-24,1.118,0.0895,000029
2013-09-25,1.115,-0.2683,000029
2013-09-26,1.1,-1.3453,000029
2013-09-27,1.105,0.4545,000029
2013-09-30,1.111,0.543,000029
2013-10-08,1.125,1.2601,000029
2013-10-09,1.137,1.0667,000029
2013-10-10,1.127,-0.8795,000029
2013-10-11,1.133,0.5324,000029
2013-10-14,1.143,0.8826,000029
2013-10-15,1.138,-0.4374,000029
2013-10-16,1.107,-2.7241,000029
2013-10-17,1.104,-0.271,000029
2013-10-18,1.113,0.8152,000029
2013-10-21,1.138,2.2462,000029
2013-10-22,1.118,-1.7575,000029
2013-10-23,1.087,-2.7728,000029
2013-10-24,1.084,-0.276,000029
2013-10-25,1.063,-1.9373,000029
2013-10-28,1.064,0.0941,000029
2013-10-29,1.057,-0.6579,000029
2013-10-30,1.072,1.4191,000029
2013-10-31,1.051,-1.959,000029
2013-11-01,1.047,-0.3806,000029
2013-11-04,1.05,0.2865,000029
2013-11-05,1.055,0.4762,000029
2013-11-06,1.056,0.0948,000029
2013-11-07,1.057,0.0947,000029
2013-11-08,1.053,-0.3784,000029
2013-11-11,1.055,0.1899,000029
2013-11-12,1.052,-0.2844,000029
2013-11-13,1.046,-0.5703,000029
2013-11-14,1.053,0.6692,000029
2013-11-15,1.06,0.6648,000029
2013-11-18,1.077,1.6038,000029
2013-11-19,1.076,-0.0929,000029
2013-11-20,1.078,0.1859,000029
2013-11-21,1.076,-0.1855,000029
2013-11-22,1.072,-0.3717,000029
2013-11-25,1.07,-0.1866,000029
2013-11-26,1.074,0.3738,000029
2013-11-27,1.083,0.838,000029
2013-11-28,1.087,0.3693,000029
2013-11-29,1.094,0.644,000029
2013-12-02,1.056,-3.4735,000029
2013-12-03,1.072,1.5152,000029
2013-12-04,1.081,0.8396,000029
2013-12-05,1.077,-0.37,000029
2013-12-06,1.068,-0.8357,000029
2013-12-09,1.078,0.9363,000029
2013-12-10,1.083,0.4638,000029
2013-12-11,1.072,-1.0157,000029
2013-12-12,1.079,0.653,000029
2013-12-13,1.086,0.6487,000029
2013-12-16,1.069,-1.5654,000029
2013-12-17,1.059,-0.9355,000029
2013-12-18,1.059,0.0,000029
2013-12-19,1.052,-0.661,000029
2013-12-20,1.039,-1.2357,000029
2013-12-23,1.041,0.1925,000029
2013-12-24,1.055,1.3449,000029
2013-12-25,1.073,1.7062,000029
2013-12-26,1.057,-1.4911,000029
2013-12-27,1.074,1.6083,000029
2013-12-30,1.073,-0.0931,000029
2013-12-31,1.072,-0.0932,000029
2014-01-02,1.084,1.1194,000029
2014-01-03,1.09,0.5535,000029
2014-01-06,1.063,-2.4771,000029
2014-01-07,1.067,0.3763,000029
2014-01-08,1.077,0.9372,000029
2014-01-09,1.068,-0.8357,000029
2014-01-10,1.053,-1.4045,000029
2014-01-13,1.05,-0.2849,000029
2014-01-14,1.069,1.8095,000029
2014-01-15,1.081,1.1225,000029
2014-01-16,1.078,-0.2775,000029
2014-01-17,1.063,-1.3915,000029
2014-01-20,1.05,-1.223,000029
2014-01-21,1.064,1.3333,000029
2014-01-22,1.095,2.9135,000029
2014-01-23,1.104,0.8219,000029
2014-01-24,1.116,1.087,000029
2014-01-27,1.113,-0.2688,000029
2014-01-28,1.102,-0.9883,000029
2014-01-29,1.117,1.3612,000029
2014-01-30,1.109,-0.7162,000029
2014-02-07,1.13,1.8936,000029
2014-02-10,1.164,3.0088,000029
2014-02-11,1.158,-0.5155,000029
2014-02-12,1.168,0.8636,000029
2014-02-13,1.152,-1.3699,000029
2014-02-14,1.17,1.5625,000029
2014-02-17,1.197,2.3077,000029
2014-02-18,1.194,-0.2506,000029
2014-02-19,1.186,-0.67,000029
2014-02-20,1.176,-0.8432,000029
2014-02-21,1.172,-0.3401,000029
2014-02-24,1.167,-0.4266,000029
2014-02-25,1.12,-4.0274,000029
2014-02-26,1.128,0.7143,000029
2014-02-27,1.113,-1.3298,000029
2014-02-28,1.126,1.168,000029
2014-03-03,1.148,1.9538,000029
2014-03-04,1.143,-0.4355,000029
2014-03-05,1.138,-0.4374,000029
2014-03-06,1.136,-0.1757,000029
2014-03-07,1.136,0.0,000029
2014-03-10,1.106,-2.6408,000029
2014-03-11,1.1,-0.5425,000029
2014-03-12,1.098,-0.1818,000029
2014-03-13,1.111,1.184,000029
2014-03-14,1.115,0.36,000029
2014-03-17,1.12,0.4484,000029
2014-03-18,1.119,-0.0893,000029
2014-03-19,1.113,-0.5362,000029
2014-03-20,1.107,-0.5391,000029
2014-03-21,1.11,0.271,000029
2014-03-24,1.113,0.2703,000029
2014-03-25,1.11,-0.2695,000029
2014-03-26,1.117,0.6306,000029
2014-03-27,1.106,-0.9848,000029
2014-03-28,1.095,-0.9946,000029
2014-03-31,1.094,-0.0913,000029
2014-04-01,1.099,0.457,000029
2014-04-02,1.102,0.273,000029
2014-04-03,1.1,-0.1815,000029
2014-04-04,1.104,0.3636,000029
2014-04-08,1.101,-0.2717,000029
2014-04-09,1.104,0.2725,000029
2014-04-10,1.108,0.3623,000029
2014-04-11,1.101,-0.6318,000029
2014-04-14,1.104,0.2725,000029
2014-04-15,1.09,-1.2681,000029
2014-04-16,1.092,0.1835,000029
2014-04-17,1.087,-0.4579,000029
2014-04-18,1.088,0.092,000029
2014-04-21,1.075,-1.1949,000029
2014-04-22,1.067,-0.7442,000029
2014-04-23,1.061,-0.5623,000029
2014-04-24,1.059,-0.1885,000029
2014-04-25,1.042,-1.6053,000029
2014-04-28,1.019,-2.2073,000029
2014-04-29,1.032,1.2758,000029
2014-04-30,1.037,0.4845,000029
2014-05-05,1.04,0.2893,000029
2014-05-06,1.047,0.6731,000029
2014-05-07,1.031,-1.5282,000029
2014-05-08,1.029,-0.194,000029
2014-05-09,1.02,-0.8746,000029
2014-05-12,1.028,0.7843,000029
2014-05-13,1.029,0.0973,000029
2014-05-14,1.033,0.3887,000029
2014-05-15,1.014,-1.8393,000029
2014-05-16,1.004,-0.9862,000029
2014-05-19,0.992,-1.1952,000029
2014-05-20,0.992,0.0,000029
2014-05-21,1.0,0.8065,000029
2014-05-22,1.006,0.6,000029
2014-05-23,1.021,1.4911,000029
2014-05-26,1.036,1.4691,000029
2014-05-27,1.038,0.1931,000029
2014-05-28,1.059,2.0231,000029
2014-05-29,1.05,-0.8499,000029
2014-05-30,1.051,0.0952,000029
2014-06-03,1.048,-0.2854,000029
2014-06-04,1.042,-0.5725,000029
2014-06-05,1.059,1.6315,000029
2014-06-06,1.056,-0.2833,000029
2014-06-09,1.047,-0.8523,000029
2014-06-10,1.062,1.4327,000029
2014-06-11,1.071,0.8475,000029
2014-06-12,1.068,-0.2801,000029
2014-06-13,1.083,1.4045,000029
2014-06-16,1.091,0.7387,000029
2014-06-17,1.079,-1.0999,000029
2014-06-18,1.07,-0.8341,000029
2014-06-19,1.045,-2.3364,000029
2014-06-20,1.056,1.0526,000029
2014-06-23,1.073,1.6098,000029
2014-06-24,1.076,0.2796,000029
2014-06-25,1.068,-0.7435,000029
2014-06-26,1.083,1.4045,000029
2014-06-27,1.085,0.1847,000029
2014-06-30,1.099,1.2903,000029
2014-07-01,1.109,0.9099,000029
2014-07-02,1.112,0.2705,000029
2014-07-03,1.122,0.8993,000029
2014-07-04,1.117,-0.4456,000029
2014-07-07,1.108,-0.8057,000029
2014-07-08,1.121,1.1733,000029
2014-07-09,1.106,-1.3381,000029
2014-07-10,1.098,-0.7233,000029
2014-07-11,1.097,-0.0911,000029
2014-07-14,1.099,0.1823,000029
2014-07-15,1.094,-0.455,000029
2014-07-16,1.091,-0.2742,000029
2014-07-17,1.092,0.0917,000029
2014-07-18,1.092,0.0,000029
2014-07-21,1.09,-0.1832,000029
2014-07-22,1.101,1.0092,000029
2014-07-23,1.098,-0.2725,000029
2014-07-24,1.107,0.8197,000029
2014-07-25,1.109,0.1807,000029
2014-07-28,1.12,0.9919,000029
2014-07-29,1.13,0.8929,000029
2014-07-30,1.129,-0.0885,000029
2014-07-31,1.135,0.5314,000029
2014-08-01,1.122,-1.1454,000029
2014-08-04,1.128,0.5348,000029
2014-08-05,1.127,-0.0887,000029
2014-08-06,1.127,0.0,000029
2014-08-07,1.126,-0.0887,000029
2014-08-08,1.129,0.2664,000029
2014-08-11,1.131,0.1771,000029
2014-08-12,1.133,0.1768,000029
2014-08-13,1.132,-0.0883,000029
2014-08-14,1.129,-0.265,000029
2014-08-15,1.131,0.1771,000029
2014-08-18,1.133,0.1768,000029
2014-08-19,1.134,0.0883,000029
2014-08-20,1.132,-0.1764,000029
2014-08-21,1.131,-0.0883,000029
2014-08-22,1.134,0.2653,000029
2014-08-25,1.136,0.1764,000029
2014-08-26,1.135,-0.088,000029
2014-08-27,1.137,0.1762,000029
2014-08-28,1.137,0.0,000029
2014-08-29,1.139,0.1759,000029
2014-09-01,1.143,0.3512,000029
2014-09-02,1.148,0.4374,000029
2014-09-03,1.152,0.3484,000029
2014-09-04,1.155,0.2604,000029
2014-09-05,1.157,0.1732,000029
2014-09-09,1.156,-0.0864,000029
2014-09-10,1.155,-0.0865,000029
2014-09-11,1.153,-0.1732,000029
2014-09-12,1.161,0.6938,000029
2014-09-15,1.164,0.2584,000029
2014-09-16,1.137,-2.3196,000029
2014-09-17,1.141,0.3518,000029
2014-09-18,1.144,0.2629,000029
2014-09-19,1.158,1.2238,000029
2014-09-22,1.146,-1.0363,000029
2014-09-23,1.156,0.8726,000029
2014-09-24,1.165,0.7785,000029
2014-09-25,1.167,0.1717,000029
2014-09-26,1.17,0.2571,000029
2014-09-29,1.179,0.7692,000029
2014-09-30,1.184,0.4241,000029
2014-10-08,1.198,1.1824,000029
2014-10-09,1.201,0.2504,000029
2014-10-10,1.194,-0.5828,000029
2014-10-13,1.189,-0.4188,000029
2014-10-14,1.185,-0.3364,000029
2014-10-15,1.182,-0.2532,000029
2014-10-16,1.174,-0.6768,000029
2014-10-17,1.17,-0.3407,000029
2014-10-20,1.182,1.0256,000029
2014-10-21,1.176,-0.5076,000029
2014-10-22,1.165,-0.9354,000029
2014-10-23,1.156,-0.7725,000029
2014-10-24,1.163,0.6055,000029
2014-10-27,1.166,0.258,000029
2014-10-28,1.186,1.7153,000029
2014-10-29,1.207,1.7707,000029
2014-10-30,1.208,0.0829,000029
2014-10-31,1.209,0.0828,000029
2014-11-03,1.225,1.3234,000029
2014-11-04,1.222,-0.2449,000029
2014-11-05,1.221,-0.0818,000029
2014-11-06,1.235,1.1466,000029
2014-11-07,1.226,-0.7287,000029
2014-11-10,1.245,1.5498,000029
2014-11-11,1.214,-2.49,000029
2014-11-12,1.236,1.8122,000029
2014-11-13,1.223,-1.0518,000029
2014-11-14,1.218,-0.4088,000029
2014-11-17,1.228,0.821,000029
2014-11-18,1.219,-0.7329,000029
2014-11-19,1.223,0.3281,000029
2014-11-20,1.226,0.2453,000029
2014-11-21,1.236,0.8157,000029
2014-11-24,1.254,1.4563,000029
2014-11-25,1.264,0.7974,000029
2014-11-26,1.279,1.1867,000029
2014-11-27,1.286,0.5473,000029
2014-11-28,1.288,0.1555,000029
2014-12-01,1.278,-0.7764,000029
2014-12-02,1.297,1.4867,000029
2014-12-03,1.296,-0.0771,000029
2014-12-04,1.347,3.9352,000029
2014-12-05,1.33,-1.2621,000029
2014-12-08,1.338,0.6015,000029
2014-12-09,1.165,-5.4559,000029
2014-12-10,1.189,2.0601,000029
2014-12-11,1.19,0.0841,000029
2014-12-12,1.202,1.0084,000029
2014-12-15,1.221,1.5807,000029
2014-12-16,1.22,-0.0819,000029
2014-12-17,1.208,-0.9836,000029
2014-12-18,1.207,-0.0828,000029
2014-12-19,1.196,-0.9114,000029
2014-12-22,1.173,-1.9231,000029
2014-12-23,1.149,-2.046,000029
2014-12-24,1.135,-1.2185,000029
2014-12-25,1.139,0.3524,000029
2014-12-26,1.145,0.5268,000029
2014-12-29,1.139,-0.524,000029
2014-12-30,1.132,-0.6146,000029
2014-12-31,1.162,2.6502,000029
2015-01-05,1.188,2.2375,000029
2015-01-06,1.175,-1.0943,000029
2015-01-07,1.181,0.5106,000029
2015-01-08,1.154,-2.2862,000029
2015-01-09,1.155,0.0867,000029
2015-01-12,1.149,-0.5195,000029
2015-01-13,1.152,0.2611,000029
2015-01-14,1.15,-0.1736,000029
2015-01-15,1.189,3.3913,000029
2015-01-16,1.197,0.6728,000029
2015-01-19,1.12,-6.4327,000029
2015-01-20,1.141,1.875,000029
2015-01-21,1.165,2.1034,000029
2015-01-22,1.173,0.6867,000029
2015-01-23,1.173,0.0,000029
2015-01-26,1.182,0.7673,000029
2015-01-27,1.171,-0.9306,000029
2015-01-28,1.155,-1.3664,000029
2015-01-29,1.148,-0.6061,000029
2015-01-30,1.147,-0.0871,000029
2015-02-02,1.141,-0.5231,000029
2015-02-03,1.158,1.4899,000029
2015-02-04,1.16,0.1727,000029
2015-02-05,1.16,0.0,000029
2015-02-06,1.135,-2.1552,000029
2015-02-09,1.12,-1.3216,000029
2015-02-10,1.138,1.6071,000029
2015-02-11,1.157,1.6696,000029
2015-02-12,1.158,0.0864,000029
2015-02-13,1.178,1.7271,000029
2015-02-16,1.204,2.2071,000029
2015-02-17,1.217,1.0797,000029
2015-02-25,1.198,-1.5612,000029
2015-02-26,1.207,0.7513,000029
2015-02-27,1.221,1.1599,000029
2015-03-02,1.244,1.8837,000029
2015-03-03,1.227,-1.3666,000029
2015-03-04,1.237,0.815,000029
2015-03-05,1.24,0.2425,000029
2015-03-06,1.224,-1.2903,000029
2015-03-09,1.233,0.7353,000029
2015-03-10,1.241,0.6488,000029
2015-03-11,1.241,0.0,000029
2015-03-12,1.236,-0.4029,000029
2015-03-13,1.259,1.8608,000029
2015-03-16,1.31,4.0508,000029
2015-03-17,1.322,0.916,000029
2015-03-18,1.345,1.7398,000029
2015-03-19,1.351,0.4461,000029
2015-03-20,1.373,1.6284,000029
2015-03-23,1.422,3.5688,000029
2015-03-24,1.455,2.3207,000029
2015-03-25,1.467,0.8247,000029
2015-03-26,1.422,-3.0675,000029
2015-03-27,1.451,2.0394,000029
2015-03-30,1.436,-1.0338,000029
2015-03-31,1.442,0.4178,000029
2015-04-01,1.467,1.7337,000029
2015-04-02,1.488,1.4315,000029
2015-04-03,1.517,1.9489,000029
2015-04-07,1.531,0.9229,000029
2015-04-08,1.531,0.0,000029
2015-04-09,1.527,-0.2613,000029
2015-04-10,1.549,1.4407,000029
2015-04-13,1.564,0.9684,000029
2015-04-14,1.556,-0.5115,000029
2015-04-15,1.502,-3.4704,000029
2015-04-16,1.529,1.7976,000029
2015-04-17,1.536,0.4578,000029
2015-04-20,1.507,-1.888,000029
2015-04-21,1.554,3.1188,000029
2015-04-22,1.592,2.4453,000029
2015-04-23,1.619,1.696,000029
2015-04-24,1.598,-1.2971,000029
2015-04-27,1.599,0.0626,000029
2015-04-28,1.556,-2.6892,000029
2015-04-29,1.572,1.0283,000029
2015-04-30,1.584,0.7634,000029
2015-05-04,1.595,0.6944,000029
2015-05-05,1.535,-3.7618,000029
2015-05-06,1.533,-0.1303,000029
2015-05-07,1.524,-0.5871,000029
2015-05-08,1.556,2.0997,000029
2015-05-11,1.601,2.892,000029
2015-05-12,1.639,2.3735,000029
2015-05-13,1.65,0.6711,000029
2015-05-14,1.644,-0.3636,000029
2015-05-15,1.646,0.1217,000029
2015-05-18,1.665,1.1543,000029
2015-05-19,1.692,1.6216,000029
2015-05-20,1.728,2.1277,000029
2015-05-21,1.781,3.0671,000029
2015-05-22,1.783,0.1123,000029
2015-05-25,1.817,1.9069,000029
2015-05-26,1.88,3.4673,000029
2015-05-27,1.891,0.5851,000029
2015-05-28,1.811,-4.2306,000029
2015-05-29,1.851,2.2087,000029
2015-06-01,1.93,4.268,000029
2015-06-02,2.009,4.0933,000029
2015-06-03,2.043,1.6924,000029
2015-06-04,2.025,-0.8811,000029
2015-06-05,2.03,0.2469,000029
2015-06-08,1.959,-3.4975,000029
2015-06-09,1.969,0.5105,000029
2015-06-10,2.039,3.5551,000029
2015-06-11,2.077,1.8637,000029
2015-06-12,2.101,1.1555,000029
2015-06-15,2.044,-2.713,000029
2015-06-16,1.958,-4.2074,000029
2015-06-17,1.998,2.0429,000029
2015-06-18,1.911,-4.3544,000029
2015-06-19,1.825,-4.5003,000029
2015-06-23,1.825,0.0,000029
2015-06-24,1.839,0.7671,000029
2015-06-25,1.803,-1.9576,000029
2015-06-26,1.734,-3.827,000029
2015-06-29,1.657,-4.4406,000029
2015-06-30,1.723,3.9831,000029
2015-07-01,1.664,-3.4243,000029
2015-07-02,1.591,-4.387,000029
2015-07-03,1.521,-4.3997,000029
2015-07-06,1.499,-1.4464,000029
2015-07-07,1.437,-4.1361,000029
2015-07-08,1.399,-2.6444,000029
2015-07-09,1.404,0.3574,000029
2015-07-10,1.43,1.8519,000029
2015-07-13,1.473,3.007,000029
2015-07-14,1.475,0.1358,000029
2015-07-15,1.439,-2.4407,000029
2015-07-16,1.448,0.6254,000029
2015-07-17,1.478,2.0718,000029
2015-07-20,1.507,1.9621,000029
2015-07-21,1.548,2.7206,000029
2015-07-22,1.569,1.3566,000029
2015-07-23,1.616,2.9955,000029
2015-07-24,1.603,-0.8045,000029
2015-07-27,1.487,-7.2364,000029
2015-07-28,1.443,-2.959,000029
2015-07-29,1.494,3.5343,000029
2015-07-30,1.455,-2.6104,000029
2015-07-31,1.431,-1.6495,000029
2015-08-03,1.407,-1.6771,000029
2015-08-04,1.428,1.4925,000029
2015-08-05,1.427,-0.07,000029
2015-08-06,1.425,-0.1402,000029
2015-08-07,1.458,2.3158,000029
2015-08-10,1.525,4.5953,000029
2015-08-11,1.529,0.2623,000029
2015-08-12,1.525,-0.2616,000029
2015-08-13,1.535,0.6557,000029
2015-08-14,1.534,-0.0651,000029
2015-08-17,1.538,0.2608,000029
2015-08-18,1.484,-3.5111,000029
2015-08-19,1.49,0.4043,000029
2015-08-20,1.46,-2.0134,000029
2015-08-21,1.427,-2.2603,000029
2015-08-24,1.367,-4.2046,000029
2015-08-25,1.345,-1.6094,000029
2015-08-26,1.329,-1.1896,000029
2015-08-27,1.342,0.9782,000029
2015-08-28,1.358,1.1923,000029
2015-08-31,1.358,0.0,000029
2015-09-01,1.342,-1.1782,000029
2015-09-02,1.335,-0.5216,000029
2015-09-07,1.335,0.0,000029
2015-09-08,1.338,0.2247,000029
2015-09-09,1.341,0.2242,000029
2015-09-10,1.339,-0.1491,000029
2015-09-11,1.333,-0.4481,000029
2015-09-14,1.326,-0.5251,000029
2015-09-15,1.32,-0.4525,000029
2015-09-16,1.328,0.6061,000029
2015-09-17,1.325,-0.2259,000029
2015-09-18,1.326,0.0755,000029
2015-09-21,1.335,0.6787,000029
2015-09-22,1.335,0.0,000029
2015-09-23,1.333,-0.1498,000029
2015-09-24,1.341,0.6002,000029
2015-09-25,1.317,-1.7897,000029
2015-09-28,1.334,1.2908,000029
2015-09-29,1.323,-0.8246,000029
2015-09-30,1.326,0.2268,000029
2015-10-08,1.362,2.7149,000029
2015-10-09,1.389,1.9824,000029
2015-10-12,1.436,3.3837,000029
2015-10-13,1.461,1.7409,000029
2015-10-14,1.437,-1.6427,000029
2015-10-15,1.485,3.3403,000029
2015-10-16,1.504,1.2795,000029
2015-10-19,1.502,-0.133,000029
2015-10-20,1.544,2.7963,000029
2015-10-21,1.439,-6.8005,000029
2015-10-22,1.501,4.3085,000029
2015-10-23,1.548,3.1312,000029
2015-10-26,1.567,1.2274,000029
2015-10-27,1.579,0.7658,000029
2015-10-28,1.535,-2.7866,000029
2015-10-29,1.539,0.2606,000029
2015-10-30,1.555,1.0396,000029
2015-11-02,1.515,-2.5723,000029
2015-11-03,1.509,-0.396,000029
2015-11-04,1.543,2.2531,000029
2015-11-05,1.544,0.0648,000029
2015-11-06,1.565,1.3601,000029
2015-11-09,1.587,1.4058,000029
2015-11-10,1.606,1.1972,000029
2015-11-11,1.638,1.9925,000029
2015-11-12,1.628,-0.6105,000029
2015-11-13,1.585,-2.6413,000029
2015-11-16,1.606,1.3249,000029
2015-11-17,1.584,-1.3699,000029
2015-11-18,1.57,-0.8838,000029
2015-11-19,1.62,3.1847,000029
2015-11-20,1.659,2.4074,000029
2015-11-23,1.638,-1.2658,000029
2015-11-24,1.654,0.9768,000029
2015-11-25,1.69,2.1765,000029
2015-11-26,1.683,-0.4142,000029
2015-11-27,1.587,-5.7041,000029
2015-11-30,1.604,1.0712,000029
2015-12-01,1.591,-0.8105,000029
2015-12-02,1.562,-1.8228,000029
2015-12-03,1.593,1.9846,000029
2015-12-04,1.596,0.1883,000029
2015-12-07,1.603,0.4386,000029
2015-12-08,1.595,-0.4991,000029
2015-12-09,1.6,0.3135,000029
2015-12-10,1.594,-0.375,000029
2015-12-11,1.579,-0.941,000029
2015-12-14,1.578,-0.0633,000029
2015-12-15,1.587,0.5703,000029
2015-12-16,1.591,0.252,000029
2015-12-17,1.618,1.697,000029
2015-12-18,1.6,-1.1125,000029
2015-12-21,1.607,0.4375,000029
2015-12-22,1.625,1.1201,000029
2015-12-23,1.6,-1.5385,000029
2015-12-24,1.61,0.625,000029
2015-12-25,1.624,0.8696,000029
2015-12-28,1.596,-1.7241,000029
2015-12-29,1.598,0.1253,000029
2015-12-30,1.626,1.7522,000029
2015-12-31,1.606,-1.23,000029
2016-01-04,1.483,-7.6588,000029
2016-01-05,1.432,-3.439,000029
2016-01-06,1.466,2.3743,000029
2016-01-07,1.368,-6.6849,000029
2016-01-08,1.365,-0.2193,000029
2016-01-11,1.309,-4.1026,000029
2016-01-12,1.301,-0.6112,000029
2016-01-13,1.26,-3.1514,000029
2016-01-14,1.303,3.4127,000029
2016-01-15,1.275,-2.1489,000029
2016-01-18,1.297,1.7255,000029
2016-01-19,1.34,3.3153,000029
2016-01-20,1.332,-0.597,000029
2016-01-21,1.293,-2.9279,000029
2016-01-22,1.305,0.9281,000029
2016-01-25,1.322,1.3027,000029
2016-01-26,1.256,-4.9924,000029
2016-01-27,1.232,-1.9108,000029
2016-01-28,1.22,-0.974,000029
2016-01-29,1.229,0.7377,000029
2016-02-01,1.224,-0.4068,000029
2016-02-02,1.239,1.2255,000029
2016-02-03,1.245,0.4843,000029
2016-02-04,1.257,0.9639,000029
